Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/07/2022,100249.6,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,4502555536,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2018 SIGNALLING ENGINEERING SERVICES PANEL ARRANGEMENT - RAMBOLL DANMARK A S,16/06/2022,100000,AUD,Ramboll,Hannemanns' Alle 53 Copenhagen 1 2300,NO,NO,,,,,,,,,CW2303130,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",15/07/2022,98137.47,AUD,SEVA (EC) Pty Ltd,35 Kremzow Road Brendale QLD 4500,NO,NO,,,,,,,,,4502554714,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,21/07/2022,89870,AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,4502555572,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,7/12/2022,84153.43,AUD,Penske Power Systems,196 Viking Drive Wacol QLD 4076,NO,NO,,,,,,,,,4502551888,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/07/2022,80605.8,AUD,Alstom Transport Australia Pty Ltd,16 Giffnock Avenue MacQuarie Park NSW 2113,NO,NO,,,,,,,,,4502555667,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,28/07/2022,78482.8,AUD,Western Downs Traffic Control,PO Box 157 Dalby QLD 4405,NO,NO,,,,,,,,,4502561112,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,7/12/2022,77000,AUD,SNC-Lavalin Rail & Transit Pty Limi,55 Clarence Street Sydney NSW 2000,NO,NO,,,,,,,,,4502552038,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,8/06/2022,73345.76,AUD,Hyteco (Aust) Pty Ltd,PO Box 5141 Brendale QLD 4500,YES,NO,,,,,,,,,4502540565,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/07/2022,69078.5,AUD,Penske Power Systems,196 Viking Drive Wacol QLD 4076,NO,NO,,,,,,,,,4502561104,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,13/07/2022,67943.35,AUD,EMAK Communications & Civils Pty Lt,14 Jurekey Street Cluden QLD 4811,NO,NO,,,,,,,,,4502554060,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,14/07/2022,65670,AUD,MacTrans Heavy Haulage Pty Ltd,144 Coulson Street Wacol QLD 4076,NO,NO,,,,,,,,,4502554610,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TC'S - 2022 BENTLEY SELECT SUITE SOFTWARE,1/07/2022,64104.2,AUD,Bentley System International,Charlemont Street Dublin DB DUBLIN 2,NO,NO,,,,,,,,,CW2297879,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV GARDEN/LANDSCAP,7/07/2022,61389.46,AUD,Jimboomba Turf Group,PO Box 567 Acacia Ridge QLD 4110,NO,NO,,,,,,,,,4502551270,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,13/07/2022,60595.43,AUD,Wilson Security Pty Ltd,6 English Street Essendon Fields VIC 3041,NO,NO,,,,,,,,,4502554056,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 SEEK ADVERTISING AGREEMENT,19/07/2022,60000,AUD,Seek Ltd,GPO Box 2335 Sydney NSW 2001,NO,NO,,,,,,,,,CW2302895,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 AASB16 FINANCE LEASE SOFTWARE AS A SERVICE PRODUCT,11/07/2022,55000,AUD,MicroChannel Services Pty Ltd,401 Pacific Highway Artarmon NSW 2064,NO,NO,,,,,,,,,CW2302330,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,7/12/2022,52690,AUD,Andrew Engineering (Aust) Pty Ltd,86-90 Northern Road Heidelberg West VIC 3081,NO,NO,,,,,,,,,4502551813,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,7/04/2022,50748.03,AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,4502550657,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PAY SERVICE AGREEMENT - KORN FERRY,20/07/2022,49350,AUD,Korn Ferry International Pty Ltd,88 Phillip Street Sydney NSW 2000,NO,NO,,,,,,,,,CW2303048,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,14/07/2022,49134.8,AUD,Voestalpine SIGNALING Siershahn Gmb,160 Hartley Road Smeaton Grange NSW 2567,NO,NO,,,,,,,,,4502554436,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",INSURANCE SPARE,7/08/2022,47630,AUD,Eaton Electrical Australia Pty Ltd,10 Kent Road Mascot NSW 2020,NO,NO,,,,,,,,,4502551459,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/06/2022,45705,AUD,AWD Civil Pty Ltd,20-22 Ellerslie Road Meadowbrook QLD 4131,YES,NO,,,,,,,,,4502543684,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,21/07/2022,45608.2,AUD,Sure Power,4 Manilla Street East Brisbane QLD 4169,NO,NO,,,,,,,,,4502555839,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,7/11/2022,44711.7,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,4502551644,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,13/07/2022,43660.1,AUD,Voestalpine Railway Systems,PO Box 391 Mackay QLD 4740,NO,NO,,,,,,,,,4502552181,,,,,
