Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,18/02/2020,11121,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICES - ELEC INV,10/06/2020,11121,AUD,GRASP Electrical,20 Watts Road Gracemere QLD 4702,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PPE SAFETY EQUIPMENT,4/10/2019,11116.6,AUD,Royal Wolf Trading,PO Box 161 Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,29/08/2019,11114.4,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,23/03/2020,11110,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALARM SIGNAL SEC SYS,13/08/2019,11107.8,AUD,EMAK Communications & Civils Pty Lt,14 Jurekey Street Cluden QLD 4811,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,13/03/2020,11096.8,AUD,Schiavello Systems (Qld) Pty Ltd,PO Box 1225 Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/03/2020,11091.23,AUD,Atlas Copco Compressors Australia,88 Stradbroke Street Heathwood QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,12/08/2019,11088,AUD,Korn Ferry International Pty Ltd,88 Phillip Street Sydney NSW 2000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,11/09/2019,11088,AUD,Redplay Pty Ltd,17 Vidar Crescent Ooralea QLD 4740,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/06/2020,11088,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,1/08/2019,11083.2,AUD,Austact,60 Zillmere Road Boondall QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/05/2020,11078.87,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,8/05/2020,11073.54,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,5/05/2020,11066,AUD,The Buckner Group,71 Basalt Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TIMBR PLYWOOD VENEER,10/10/2019,11059.29,AUD,Forest One Australia Pty Ltd,PO Box 315 Bungalow QLD 4870,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,1/11/2019,11055,AUD,PSA Consulting (Australia) Pty Ltd,PO Box 10824 Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,15/11/2019,11055,AUD,J Scaff,PO Box 53 North Lakes QLD 4509,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,13/02/2020,11055,AUD,Winstondale Spraying Contractors Pt,PO Box 8515 Midgee QLD 4700,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,19/12/2019,11041.8,AUD,Direct Steel Supplies,PO Box 425 Ipswich QLD 4305,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,4/02/2020,11036.95,AUD,Geofabrics Australasia Pty Ltd,PO Box 684 Sumner Park QLD 4074,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,7/02/2020,11033,AUD,Bassett Furniture Pty Ltd,55A Moxon Road Punchbowl NSW 2196,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/04/2020,11033,AUD,Bassett Furniture Pty Ltd,55A Moxon Road Punchbowl NSW 2196,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,8/04/2020,11030.18,AUD,Transmarine Asia Pacific Pty Ltd,76-84 Waterway Drive Coomera QLD 4209,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,3/03/2020,11020,AUD,Australian Institute of,Level 30 20 Bond Street Sydney NSW 2000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FUELS LUBES AND OILS,25/07/2019,11019.8,AUD,Imtram Pty Ltd,PO Box 4460 Ringwood VIC 3134,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,13/08/2019,11016.5,AUD,Franklin Covey Pty Ltd,66 Eagle Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,22/07/2019,11008.8,AUD,Exide Australia Pty Ltd,293 Camberwell Road Camberwell VIC 3124,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FOOD AND BEVERAGES,20/11/2019,11000,AUD,Alsco Linen Service Pty Ltd,41 Violet Street Eagle Farm QLD 4007,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,12/07/2019,11000,AUD,KPS & Associates Pty Ltd,50 Sanders Street Upper Mount Gravatt QLD 4122,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ADVERTISING & GRAP,17/07/2019,11000,AUD,Itourism Pty Ltd,PO Box 2377 Cairns QLD 4870,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,18/07/2019,11000,AUD,Ingenious Engineering,21-29 Pakenham Road Greenbank QLD 4124,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,12/08/2019,11000,AUD,Boral Construction Materials,147 Coronation Drive Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,23/08/2019,11000,AUD,CQ Crane Hire,97 Kent Street Rockhampton QLD 4700,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VALVES,4/09/2019,11000,AUD,Online Automation Pty Ltd,33 Buchanan Road Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",WELDING CONSUMABLES,12/09/2019,11000,AUD,Ingenious Engineering,21-29 Pakenham Road Greenbank QLD 4124,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",WELDING CONSUMABLES,12/09/2019,11000,AUD,Ingenious Engineering,21-29 Pakenham Road Greenbank QLD 4124,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VALVES,18/09/2019,11000,AUD,Online Automation Pty Ltd,33 Buchanan Road Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/09/2019,11000,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/09/2019,11000,AUD,Schunk Carbon Technology Pty Ltd,44 Jellico Drive Scoresby VIC 3179,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FREIGHT & CARTAGE,3/10/2019,11000,AUD,GEFCO Forwarding Australia Pty Ltd,160 Fison Avenue West Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIBRE OPTICS MATLS,11/10/2019,11000,AUD,Reece Australia Pty Ltd,141 Browns Plains Road Browns Plains QLD 4118,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,16/10/2019,11000,AUD,Massab Metals Pty Ltd,331 Black River Road Black River QLD 4818,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ADVERTISING & GRAP,25/10/2019,11000,AUD,Clemenger BBDO,545 Queen Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FOOD AND BEVERAGES,29/10/2019,11000,AUD,Energy & Water Drinks Qld Pty Ltd,PO Box 6073 Ormeau QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/11/2019,11000,AUD,Coates Hire Operations Pty Ltd,241 ORiordan Street Mascot NSW 2020,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,9/12/2019,11000,AUD,Hibbo's Concrete Cutting Pty Ltd,22 Whiteside Road Whiteside QLD 4503,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVER SOFTWARE,10/12/2019,11000,AUD,SafetyCulture Pty Ltd,221 Sturt Street Townsville QLD 4810,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FOOD AND BEVERAGES,16/12/2019,11000,AUD,Energy & Water Drinks Qld Pty Ltd,PO Box 6073 Ormeau QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",7/01/2020,11000,AUD,Boral Construction Materials,147 Coronation Drive Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,21/01/2020,11000,AUD,BTS Transcription Services,PO Box 3271 Mt Ommaney QLD 4074,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,28/01/2020,11000,AUD,Ramset Fasteners (Aust) Pty Ltd,281 Montague Road West End QLD 4101,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FOOD AND BEVERAGES,29/01/2020,11000,AUD,Energy & Water Drinks Qld Pty Ltd,PO Box 6073 Ormeau QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,4/03/2020,11000,AUD,Sharman Property Services,PO Box 74 Rocklea QLD 4106,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COURIER SERVICES,10/03/2020,11000,AUD,Jet Couriers (Brisbane) Pty Ltd,37 Mortimer Road Acacia Ridge QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SPONSORSHIP,17/03/2020,11000,AUD,Australia's CEO Challenge,1 Eagle St Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,18/03/2020,11000,AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,23/03/2020,11000,AUD,AON Risk Services Aust Ltd,GPO Box 65 Brisbane QLD 4001,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FOOD AND BEVERAGES,26/03/2020,11000,AUD,Energy & Water Drinks Qld Pty Ltd,PO Box 6073 Ormeau QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FOOD AND BEVERAGES,26/03/2020,11000,AUD,Energy & Water Drinks Qld Pty Ltd,PO Box 6073 Ormeau QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VALVES,2/04/2020,11000,AUD,Online Automation Pty Ltd,33 Buchanan Road Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VALVES,8/04/2020,11000,AUD,Online Automation Pty Ltd,33 Buchanan Road Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE CARPARK,22/04/2020,11000,AUD,Sunshine Coast Regional,PO Box 76 Nambour QLD 4560,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,24/04/2020,11000,AUD,Universal Cranes Sunshine Coast Pty,PO Box 1761 Buderim QLD 4556,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,12/05/2020,11000,AUD,Blacktop Asphalt Repairs,27 Third Avenue Barellan Point QLD 4306,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV INSPECT & TEST,13/05/2020,11000,AUD,Australian Soil and Concrete,17 De-Havilland Crescent Ballina NSW 2478,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FREIGHT & CARTAGE,13/05/2020,11000,AUD,GEFCO Forwarding Australia Pty Ltd,160 Fison Avenue West Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV INSPECT & TEST,13/05/2020,11000,AUD,Australian Soil and Concrete,17 De-Havilland Crescent Ballina NSW 2478,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,20/05/2020,11000,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,26/05/2020,11000,AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,27/05/2020,11000,AUD,Holcim (Australia) Pty Ltd,PO Box 1143 Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PAINT ACCESS & ADHES,27/05/2020,11000,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
